2025-02-24 21:39:56,565 - CRITICAL - Invalid move 'invalid_move' for game 3900, turn W1. 
2025-02-24 21:39:56,567 - CRITICAL - Invalid move 'invalid_move' for game 2038, turn W1. 
2025-02-24 21:39:56,570 - CRITICAL - Invalid move 'invalid_move' for game 3296, turn W1. 
2025-02-24 21:39:56,572 - CRITICAL - Invalid move 'invalid_move' for game 7036, turn W1. 
2025-02-24 21:39:56,580 - CRITICAL - Invalid move 'invalid_move' for game 3299, turn W1. 
2025-02-24 21:39:56,582 - CRITICAL - Invalid move 'invalid_move' for game 7039, turn W1. 
2025-02-24 21:39:56,583 - CRITICAL - Invalid move 'invalid_move' for game 166, turn W1. 
2025-02-24 21:39:56,584 - CRITICAL - Invalid move 'invalid_move' for game 3905, turn W1. 
2025-02-24 21:39:56,585 - CRITICAL - Invalid move 'invalid_move' for game 5767, turn W1. 
2025-02-24 21:39:56,587 - CRITICAL - Invalid move 'invalid_move' for game 4543, turn W1. 
2025-02-24 21:39:56,588 - CRITICAL - Invalid move 'invalid_move' for game 6419, turn W1. 
2025-02-24 21:39:56,589 - CRITICAL - Invalid move 'invalid_move' for game 3302, turn W1. 
2025-02-24 21:39:56,590 - CRITICAL - Invalid move 'invalid_move' for game 7666, turn W1. 
2025-02-24 21:39:56,592 - CRITICAL - Invalid move 'invalid_move' for game 8294, turn W1. 
2025-02-24 21:39:56,592 - CRITICAL - Invalid move 'invalid_move' for game 7042, turn W1. 
2025-02-24 21:39:56,595 - CRITICAL - Invalid move 'invalid_move' for game 7668, turn W1. 
2025-02-24 21:39:56,598 - CRITICAL - Invalid move 'invalid_move' for game 3909, turn W1. 
2025-02-24 21:39:56,598 - CRITICAL - Invalid move 'invalid_move' for game 5165, turn W1. 
2025-02-24 21:39:56,599 - CRITICAL - Invalid move 'invalid_move' for game 2046, turn W1. 
2025-02-24 21:39:56,601 - CRITICAL - Invalid move 'invalid_move' for game 171, turn W1. 
